class_name,subject,topic,question,answer,correct
IX,Science,Improvement In Food Resources,<p>Livestock refers to</p>,|Pet animals|Poultry and pet animals|Domestic animals which are kept for use or profit|None of these,Domestic animals which are kept for use or profit
IX,Science,Improvement In Food Resources,<p><span>Honey is</span></p>,|Nector of flower|Nector stored in the honey sac|Nector mixed with Saliva and stored in honey sac|Nector and water sucked by the honey bee,Nector mixed with Saliva and stored in honey sac
IX,Science,Improvement In Food Resources,<p><span>Which of the following insects produces honey</span></p>,|Antherea pahpia|Apis indica|Kerria lacca|Bombyx mori,Apis indica
IX,Science,Improvement In Food Resources,<p><span>Number of queens in a hive is</span></p>,|20|15|2|1,20
IX,Science,Improvement In Food Resources,<p><span>Nutritional diet of poultry birds includes</span></p>,|Cereals, oil cakes, milk cakes, green vegetables|Millets, proteins, oil cakes only|Cereals, millets, proteins, oil cakes, green vegetables|Proteins, oil cakes, cereals only,Cereals, millets, proteins, oil cakes, green vegetables
IX,Science,Improvement In Food Resources,<p><span>Which agricultural practice helps in maintaining soil fertility</span></p>,|Crop rotation|Intercropping|Multiple cropping|All of these,All of these
IX,Science,Improvement In Food Resources,<p><span>The best way to increase the yield of wheat in India is</span></p>,|To sow seeds of improved varieties|To use tractors|To reduce the quantity of ration consumers|To remove weeds from wheat fields,To sow seeds of improved varieties
IX,Science,Improvement In Food Resources,<p><span>Birds especially chicken grown for meat only is knows as</span></p>,|Hybrid|Broiler|Bird management|Bird culture,Broiler
IX,Science,Improvement In Food Resources,<p><span>Silkworm silk is the product of</span></p>,|Salivary gland of the larva|Cuticle of the adult|Cuticle of the larva|Salivary gland of the adult,Salivary gland of the larva
IX,Science,Improvement In Food Resources,<p><span>Nobel prize was awarded to Paul Muller on the discovery of which of the following pesticides</span></p>,|Malathion|Parathion|Pyrethrum|DDT,DDT
IX,Science,Improvement In Food Resources,<p><span>The term aquaculture means</span></p>,|Aspergillosis|Marine fisheries|Inland fisheries|(2) and (3) both,(2) and (3) both
IX,Science,Improvement In Food Resources,<p><span>A mixture of rice and stone particles is separated by</span></p>,|Hand picking|Sieving|Winnowing|Churning,Hand picking
IX,Science,Improvement In Food Resources,<p><span>Biological control of agriculture pests, unlike the chemical control is</span></p>,|Toxic|Polluting|Very expensive|Self-perpetuating,Self-perpetuating
IX,Science,Improvement In Food Resources,<p><br /><span>Which layer of soil is richest in humus?</span></p>,|B-horizon|A-horizon|C-horizon|Bed rock,A-horizon
IX,Science,Improvement In Food Resources,<p><span>Biofertilizers are</span></p>,|Micro organism used to increase the fertility of the soil|Manure added to soil|Biochemical added to soil|None of the above,Micro organism used to increase the fertility of the soil
IX,Science,Improvement In Food Resources,<p><span>Eutrophication is caused by</span></p>,|Excessive use of fertilizers|Excessive use growing of crops|Monocroping|None of these,Excessive use of fertilizers
IX,Science,Improvement In Food Resources,<p><span>Which of the given nutrient is used in minute quantity by plants?</span></p>,|Potassium|Iron|Calcium|Nitrogen,Iron
IX,Science,Improvement In Food Resources,<p><span>Incubation period in hen is for about</span></p>,|32 days|21 days|14 days|40 days,21 days
IX,Science,Improvement In Food Resources,<p><span>Silk from silkworm is obtained in which stage of its life cycle</span></p>,|Larva|Adult|Eggs|Pupa,Pupa
IX,Science,Improvement In Food Resources,<p><span>If the source is opposite to the direction of sun, then honey bee will convey the direction by</span></p>,|Clockwise round dance|Upright down tail wagging dance|Anticlockwise round dance|Opposite to (2),Upright down tail wagging dance
IX,Science,Improvement In Food Resources,<p><span>Match the terms (A, B, C, D) with (i, ii, iii, iv)</span><br /><span>(A) Separate wheat from husk (B) Separate stone from sand (C) Separate tea leaves from tea (D) Separate butter from curd</,|A-(ii), B-(iii), C-(i), D-(iv)|A-(ii), B-(iii), C-(i), D-(iv)|A-(ii), B-(iii), C-(i), D-(iv)|A-(iv), B-(i), C-(ii), D-(iii),A-(ii), B-(iii), C-(i), D-(iv)
IX,Science,Improvement In Food Resources,<p><br /><span>Which of the following is not used for crop improvement?</span></p>,|Fbanana|Introduction|Hybridization|Mutations,Fbanana
IX,Science,Improvement In Food Resources,<p><br /><span>Agriculture was originated in Mesolithic age about</span></p>,|2000 years ago|3000-10000 years ago|7000-13000 years ago|20000-25000 years ago,7000-13000 years ago
IX,Science,Improvement In Food Resources,<p><span>The principal cereal crop in India is</span></p>,|Wheat|Rice|Maize|Sorghum,Maize
IX,Science,Improvement In Food Resources,<p><span>Condensation is a process when</span></p>,|A liquid changes into its vapour|The vapour changes into water|Ice melt to form water|Water freezes to form ice,The vapour changes into water
IX,Science,Improvement In Food Resources,<p><span>The process used to separate grains from stalk is</span></p>,|Threshing|Winnowing|Handpicking|Sieving,Threshing
IX,Science,Improvement In Food Resources,<p><br /><span>When muddy water is left undisturbed</span><br /><span>(i) The mud settles down</span><br /><span>(ii) Some mud particles remain floating in water</span><br /><span>(iii) The water can ,|iii and iv|i only|i and iv|All the above,All the above
IX,Science,Improvement In Food Resources,<p><br /><span>The process of winnowing is based on the principal</span><br /><span>(I) Lighter husk particles are 4 carried away by the wind</span><br /><span>(II) Heavy grains fall down in a heap</s,|I only|I and IV only|I and II only|II and III only,I and II only
IX,Science,Improvement In Food Resources,<p><span>Green manure is formed by</span></p>,|Decomposing green plants|Decomposing algae|Ploughing of leguminous plants into the soil|Decomposition of dead plants and animal wastes,Ploughing of leguminous plants into the soil
IX,Science,Improvement In Food Resources,<p><span>Other name of operation flood is</span></p>,|Green revolution|White revolution|Silver revolution|None of these,White revolution
IX,Science,Improvement In Food Resources,<p><span>Chicken reared for eggs are known as</span></p>,|Layers|Broilers|Hatches|Growers,Layers
